Monitor Gamer LG UltraGear 32 LED, 165 Hz, QHD, 1ms, HDMI/DisplayPort, 95% sRGB, FreeSync Premium, HDR 10, VESA, Preto - 32GN600-B;R$ 1.599,99;https://www.kabum.com.br/produto/364835/monitor-gamer-lg-ultragear-32-led-165-hz-qhd-1ms-hdmi-displayport-95-srgb-freesync-premium-hdr-10-vesa-preto-32gn600-b
Monitor LG 23.8 Full HD LED, 75 Hz, IPS, HDMI, VGA, Freesync, Preto - 24mp400-b;R$ 579,90;https://www.kabum.com.br/produto/294985/monitor-lg-23-8-full-hd-led-75-hz-ips-hdmi-vga-freesync-preto-24mp400-b
Monitor Gamer Husky Hailstorm 31.5' LED, Curvo, 165 Hz, Full HD, 1ms, Adaptive Sync, HDMI/DisplayPort, Ajuste de Ângulo - HGMT002;R$ 1.159,99;https://www.kabum.com.br/produto/115385/monitor-gamer-husky-hailstorm-31-5-led-curvo-165-hz-full-hd-1ms-adaptive-sync-hdmi-displayport-ajuste-de-angulo-hgmt002
Monitor LG 19.5 LED HD, HDMI, Ajuste de Ângulo, VESA - 20MK400H-B;R$ 399,99;https://www.kabum.com.br/produto/111939/monitor-lg-19-5-led-hd-hdmi-ajuste-de-angulo-vesa-20mk400h-b
Monitor Gamer Samsung 24 Full HD, 75Hz, IPS, HDMI E VGA, FreeSync, Preto - LF24T350FHLMZD;R$ 611,90;https://www.kabum.com.br/produto/254367/monitor-gamer-samsung-24-full-hd-75hz-ips-hdmi-e-vga-freesync-preto-lf24t350fhlmzd
Monitor HQ 19.5HQ-LED+, 19.5 LED Widescreen, 75hz, 2ms, 1600x900, HDMI, VESA, Ajuste De Inclinação;R$ 309,60;https://www.kabum.com.br/produto/418442/monitor-hq-19-5hq-led-19-5-led-widescreen-75hz-2ms-1600x900-hdmi-vesa-ajuste-de-inclinacao
Monitor Gamer Concordia, 23.8 Pol. LED Full HD, 165Hz, Freesync, HDMI E Display Port - R200s;R$ 594,15;https://www.kabum.com.br/produto/430113/monitor-gamer-concordia-23-8-pol-led-full-hd-165hz-freesync-hdmi-e-display-port-r200s
Monitor Gamer LG UltraGear 24 Full HD, 144Hz, 1ms, IPS, HDMI e DisplayPort, 99% sRGB, HDR, FreeSync Premium, VESA - 24GN60R-B.AWZM;R$ 939,99;https://www.kabum.com.br/produto/434391/monitor-gamer-lg-ultragear-24-full-hd-144hz-1ms-ips-hdmi-e-displayport-99-srgb-hdr-freesync-premium-vesa-24gn60r-b-awzm
Monitor Gamer LG 23.8 Full HD, IPS, HDMI, VESA, FreeSync, Sem Bordas, Preto - 24MP400-B;R$ 519,99;https://www.kabum.com.br/produto/282794/monitor-gamer-lg-23-8-full-hd-ips-hdmi-vesa-freesync-sem-bordas-preto-24mp400-b
Monitor LG 29' IPS, Ultra Wide, Full HD, HDMI, VESA, Ajuste de Ângulo, HDR 10, 99% sRGB, FreeSync - 29WL500;R$ 929,99;https://www.kabum.com.br/produto/157553/monitor-lg-29-ips-ultra-wide-full-hd-hdmi-vesa-ajuste-de-angulo-hdr-10-99-srgb-freesync-29wl500
Monitor Gamer Samsung 24' IPS, 75 Hz, Full HD, FreeSync, HDMI - LF24T350FHLMZD;R$ 649,99;https://www.kabum.com.br/produto/168368/monitor-gamer-samsung-24-ips-75-hz-full-hd-freesync-hdmi-lf24t350fhlmzd
